UNITID,SAT_AVG,C100_4,PCIP52,PCIP24,PCIP50,PCIP11,PCIP47,PCIP39,PCIP43,PCIP15,PCIP13,PCIP09,PCIP51,PCIP12,FAMINC,WDRAW_ORIG_YR4_RT
159568,969,0.1885,0.105,0.01,0.065,0,0,0.07,0.02,0,0.09,0.02,0.265,0,51648.06216,0.227979275
159601,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,24145.14634,PrivacySuppressed
159647,1105,0.3162,0.1636,0.0946,0.0318,0.0147,0,0,0,0.0287,0.0581,0.0109,0.0907,0,64954.72164,0.198519516
159656,1134,0.5352,0.1951,0.0066,0.1607,0,0,0,0.0033,0,0.018,0.082,0.0098,0,83037.5302,0.169376694
159717,1029,0.2124,0.1294,0.1777,0.0296,0.0127,0,0,0.0474,0.0195,0.055,0.033,0.1777,0,52267.07678,0.287459807
159939,1034,0.1474,0.3133,0.0008,0.1202,0.0176,0,0,0,0,0.0385,0,0,0,41955.71764,0.239428571
159948,NULL,0.0152,0,0,0,0,0,0.6607,0,0,0,0,0,0,NULL,NULL
159966,1030,0.1767,0.1868,0.0591,0.0343,0,0,0,0,0.1328,0.0591,0.0223,0.1448,0.0651,56550.13529,0.258190328
159993,1054,0.1859,0.1231,0.108,0.0218,0.0114,0,0,0.0455,0,0.0559,0.0237,0.3172,0,51378.41722,0.253380783
160010,NULL,NULL,0.0519,0,0,0.0063,0.1537,0,0,0.0716,0,0,0.1954,0.0172,14535.09531,0.204412719
160029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160038,1008,0.2014,0.0975,0.2063,0.0248,0.0105,0,0,0.0488,0.0173,0.0345,0.0195,0.2971,0,45239.40836,0.278958555
160065,NULL,0.1389,0.0935,0.0576,0,0,0,0.0072,0,0,0.0791,0,0.6115,0,40083.61,0.223443223
160074,1010,0.3333,0,0.015,0,0,0,0,0,0,0,0,0.97,0,56854.10513,0.202108963
160117,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,10522.66316,PrivacySuppressed
160126,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,13022.7541,PrivacySuppressed
160135,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,16907.11236,PrivacySuppressed
160199,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,11883.89855,PrivacySuppressed
160320,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,38280.02228,0.122394082
160409,NULL,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,37773.96667,PrivacySuppressed
160445,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,36334.20526,0.135245902
160472,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,23416.90909,PrivacySuppressed
160481,NULL,NULL,0.0532,0.1,0,0,0.0516,0,0.0111,0.1011,0,0,0.0558,0,26411.88451,0.205501618
160524,NULL,NULL,0,0,0,0.0629,0,0,0.1006,0.1069,0,0,0.5723,0.1572,18774.58382,0.148471616
160579,NULL,NULL,0.1226,0.0009,0.0309,0.0442,0.0521,0,0.0645,0.4106,0,0,0.0889,0.0484,19501.15179,0.243614931
160597,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,15925.19048,PrivacySuppressed
160612,1030,0.1448,0.2271,0.1182,0.0411,0.019,0,0,0.0457,0.0529,0.1151,0.0247,0.13,0,51536.04021,0.2271035
160621,911,0.0968,0.1242,0,0.0138,0.0169,0,0,0.0966,0.0077,0.0153,0.0337,0.2209,0,32556.46429,0.318524096
160630,803,0.019,0.1429,0.0446,0,0.0387,0,0,0.1012,0,0.0179,0,0.2024,0,20236.38509,0.327868853
160649,NULL,NULL,0.0912,0.2051,0,0.0256,0.0427,0,0.057,0,0,0,0.5271,0.0057,20547.93202,0.330630631
160658,1069,0.1461,0.1554,0.1023,0.0366,0.0244,0,0,0.0252,0.0338,0.1204,0.0358,0.1861,0,58101.44352,0.211582758
160667,NULL,NULL,0.0494,0.024,0,0.1131,0.1579,0,0.0212,0.0042,0,0,0.1916,0.0046,17538.03625,0.162349968
160755,1346,0.7247,0.2333,0.0099,0.0302,0.0346,0,0,0.0143,0,0.0055,0.0593,0.0768,0,100391.9062,0.183994017
160904,1050,0.2306,0.095,0,0.0168,0.0223,0,0.0028,0,0,0.0196,0.0223,0.0559,0,48098.74129,0.118119266
160913,NULL,NULL,0.0373,0,0,0.0053,0.0514,0,0,0.0662,0,0,0.0313,0,18797.40857,0.134189032
160940,NULL,NULL,0.2203,0,0,0.0406,0,0,0.113,0,0.1391,0.0058,0.3333,0,24415.97742,0.366642247
160959,NULL,0.5921,0,0,0,0,0,0,0,0,0,0,0,0,76257.77333,0.191780822
160977,NULL,0.8252,0,0,0.0558,0,0,0,0,0,0,0,0,0,121515.6736,PrivacySuppressed
160995,NULL,NULL,0.1111,0,0,0,0,0,0.1778,0,0.0296,0,0.4963,0,28802.87324,0.414937759
161004,NULL,0.856,0,0,0.0675,0.0527,0,0,0,0,0.0042,0,0,0,101491.7559,PrivacySuppressed
161022,1085,NULL,0,0,0,0,0,0,0,0,0,0,1,0,47398.67308,PrivacySuppressed
161077,NULL,NULL,0.1554,0.2211,0,0.0598,0.0498,0,0.0797,0.0618,0.0319,0,0.1574,0.0139,32052.07326,0.36969112
161086,1363,0.9061,0,0,0.053,0.0204,0,0,0,0,0.0061,0,0,0,132869.3785,PrivacySuppressed
161138,NULL,NULL,0.1332,0.1028,0,0.0607,0.0958,0,0.0047,0.0491,0.0701,0,0.2897,0.0397,36147.88614,0.518162393
161192,NULL,NULL,0.0927,0.0852,0,0.0351,0,0,0,0.0476,0.0301,0,0.4737,0,32731.52663,0.32637854
161208,NULL,NULL,0,0,0,0,0.3562,0,0,0.1644,0,0,0,0,52557.96552,PrivacySuppressed
161217,NULL,0.0517,0.1204,0.184,0.0189,0.046,0,0,0.0758,0,0.0081,0,0.4371,0,32458.36594,0.435222672
161226,NULL,0.4312,0.063,0.0229,0.0229,0.0115,0,0,0,0,0.3438,0,0.1633,0,60343.63142,0.227045075
161235,885,0.2041,0.1211,0.0789,0,0.0368,0,0,0.1263,0,0.0737,0,0.4211,0,46016.73675,0.293650794
161244,NULL,0.16,0.1682,0.1308,0.0561,0,0,0,0,0,0.1028,0,0.0187,0,34514.04121,0.360824742
161253,1090,0.3325,0.1126,0.0071,0.0232,0.0097,0,0,0,0.0663,0.0985,0.0566,0.0753,0,73126.14624,0.163810484
161299,1050,0.4301,0.1389,0,0,0,0,0,0,0.1019,0,0,0,0,87839.65807,0.222222222
161341,NULL,0.2194,0.1404,0.1798,0.0393,0,0,0,0.0899,0,0.1404,0.0056,0.1348,0,46050.7068,0.342756184
161457,1070,0.6042,0.0251,0,0,0,0,0,0,0,0.0251,0,0.4556,0,91803.55121,0.131241084
161484,NULL,NULL,0.156,0.055,0,0.0321,0.1606,0,0,0.0229,0.0321,0,0.2982,0,32694.92276,0.329376855
161493,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,21775.84703,0.177734375
161509,NULL,0.6377,0,0,1,0,0,0,0,0,0,0,0,0,66956.70206,0.203125
161518,989,0.4457,0.1729,0.0203,0.0068,0,0,0.0102,0.0136,0,0.0847,0.0136,0.4102,0,76944.89314,0.243478261
161527,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0.3553,0.6447,39554.73789,0.148148148
161545,NULL,NULL,0.1309,0.2149,0,0.0348,0.03,0,0.0792,0.0432,0.0288,0.0384,0.2197,0.0348,38513.60608,0.419532909
161554,984,0.1299,0.1931,0.0418,0.0394,0.0079,0,0,0,0.0252,0.0189,0.0536,0.1962,0,51671.1046,0.261174968
161563,NULL,0.3351,0.4188,0.025,0,0.05,0,0,0.175,0,0.075,0.0125,0,0,55673.00911,0.237037037
