UNITID,SAT_AVG,C100_4
150288,NULL,NULL
150303,NULL,NULL
150400,1208,0.7573
150428,NULL,NULL
150437,NULL,NULL
150455,NULL,0.6007
150534,1157,0.579
150604,994,0.5505
150668,1059,0.5294
150677,1063,0.5778
150695,NULL,NULL
150710,NULL,NULL
150756,1103,0.6451
150765,NULL,NULL
150774,984,0.1405
150853,NULL,NULL
150941,1029,0.568
150987,NULL,NULL
151102,995,0.0746
151111,1014,0.1905
151166,NULL,0.0741
151263,1030,0.4232
151290,962,0.1852
151306,1002,0.2078
151324,910,0.2187
151333,947,0.1285
151342,955,0.0622
151351,1199,0.6012
151360,928,0.0985
151379,955,0.0821
151388,961,0.1425
151458,NULL,0.76
151467,NULL,NULL
151494,NULL,NULL
151500,NULL,NULL
151519,NULL,0.0426
151564,NULL,NULL
151607,NULL,NULL
151616,NULL,0
151625,NULL,0
151652,NULL,NULL
151661,NULL,NULL
151777,1013,0.4648
151786,1026,0.3301
151801,1086,0.5138
151810,NULL,0.0308
151829,NULL,NULL
151865,NULL,NULL
151874,NULL,NULL
151944,NULL,0.1429
151962,NULL,NULL
152044,NULL,NULL
152080,1455,0.9085
152099,925,0.3165
152150,NULL,NULL
152248,960,0.0893
152266,943,0.0548
152275,NULL,NULL
152309,NULL,NULL
152318,1322,0.6782
152327,NULL,NULL
152336,974,0.3658
152363,985,0.425
152381,952,0.4674
152390,1125,0.7471
152415,NULL,NULL
152451,NULL,NULL
152497,964,NULL
152530,1191,0.7095
152567,1089,0.3794
152600,1159,0.5529
152628,NULL,NULL
152637,NULL,0.0962
152673,1145,0.702
152798,NULL,NULL
152822,NULL,NULL
152992,NULL,0.4054
153001,1010,0.428
153074,NULL,NULL
153083,NULL,NULL
153108,1068,0.5973
153126,1045,0.4795
153144,1126,0.5969
153162,1177,0.6537
153171,NULL,NULL
153214,NULL,NULL
153241,NULL,0.1
153250,1159,0.6087
153269,1224,0.6531
153278,944,0.3302
153296,NULL,NULL
153302,1069,0.2593
153311,NULL,NULL
153320,1051,0.3548
153339,NULL,NULL
153366,961,0.3394
153375,969,0.3087
153384,1402,0.7931
153409,NULL,0
153418,NULL,1
153427,NULL,NULL
153445,NULL,NULL
153463,NULL,NULL
153472,NULL,NULL
153524,NULL,NULL
153533,NULL,NULL
153542,NULL,NULL
153588,NULL,NULL
153597,NULL,NULL
153603,1142,0.4067
153621,949,0.1623
153630,NULL,NULL
153658,1164,0.511
153737,NULL,NULL
153746,NULL,NULL
153764,NULL,NULL
153773,NULL,NULL
153782,NULL,NULL
153825,1088,0.5659
153834,1179,0.6865
153861,NULL,0.2439
153922,NULL,NULL
153977,NULL,NULL
154004,1070,0.5415
154013,990,0.5067
154022,NULL,0.0202
154059,NULL,NULL
154095,1050,0.3769
154101,1141,0.571
154110,NULL,NULL
154129,NULL,NULL
154156,NULL,NULL
154165,NULL,NULL
154174,NULL,NULL
154208,NULL,NULL
154235,1050,0.5147
154262,NULL,NULL
154332,NULL,NULL
